amp,mse,corr
-2.0,120.76112365722656,0.9977503418922424
-1.9,121.02079772949219,0.9975077509880066
-1.7999999999999998,121.37626647949219,0.9972220063209534
-1.6999999999999997,121.85597229003906,0.996881902217865
-1.5999999999999996,122.4981918334961,0.9964722990989685
-1.4999999999999996,123.35491180419922,0.9959720373153687
-1.3999999999999995,149.5725860595703,0.9945199489593506
-1.2999999999999994,200.2054901123047,0.9918689131736755
-1.1999999999999993,215.8209686279297,0.9900522828102112
-1.0999999999999992,222.1485137939453,0.9879481196403503
-0.9999999999999991,231.69729614257812,0.9849451184272766
-0.899999999999999,238.68569946289062,0.9813504219055176
-0.7999999999999989,253.85736083984375,0.9760606288909912
-0.6999999999999988,304.3629455566406,0.9649089574813843
-0.5999999999999988,361.04058837890625,0.9477593898773193
-0.49999999999999867,421.3472595214844,0.9208163619041443
-0.3999999999999986,480.7186584472656,0.8771921992301941
-0.2999999999999985,535.9637451171875,0.8021942973136902
-0.1999999999999984,584.917236328125,0.6699448227882385
-0.09999999999999831,824.6062622070312,0.22981072962284088
1.7763568394002505e-15,813.3877563476562,-0.371535062789917
0.10000000000000187,1250.486083984375,-0.04935050010681152
0.20000000000000195,1062.4947509765625,0.19050061702728271
0.30000000000000204,1426.238525390625,0.019542092457413673
0.40000000000000213,1490.4481201171875,0.049296192824840546
0.5000000000000022,1540.9923095703125,0.17763696610927582
0.6000000000000023,1739.0740966796875,0.1860223263502121
0.7000000000000024,1748.4774169921875,0.22965730726718903
0.8000000000000025,2053.533935546875,0.22630712389945984
0.9000000000000026,2472.7744140625,0.2033732533454895
1.0000000000000027,2325.04296875,0.34418565034866333
1.1000000000000028,2855.560302734375,0.20014256238937378
1.2000000000000028,3058.22216796875,0.17446166276931763
1.300000000000003,2748.598388671875,0.3054254949092865
1.400000000000003,3378.073486328125,0.1502131074666977
1.500000000000003,2938.79833984375,0.31673362851142883
1.6000000000000032,3594.899658203125,0.18834632635116577
1.7000000000000033,4130.28955078125,0.11136326193809509
1.8000000000000034,3385.742431640625,0.3008327782154083
1.9000000000000035,3937.388427734375,0.19235357642173767
2.0000000000000036,3888.427001953125,0.21409203112125397
2.100000000000003,3899.206298828125,0.20650853216648102
2.2000000000000037,4000.587646484375,0.19910962879657745
2.3000000000000043,3939.096435546875,0.21347542107105255
2.400000000000004,3795.89501953125,0.23867470026016235
2.5000000000000036,3918.706298828125,0.21957997977733612
2.600000000000004,3921.81005859375,0.21986573934555054
2.7000000000000046,3942.685302734375,0.20645646750926971
2.8000000000000043,3954.532958984375,0.21253332495689392
2.900000000000004,3916.1787109375,0.21849602460861206
3.0000000000000044,4043.025634765625,0.19030486047267914
3.100000000000005,4056.68896484375,0.18744131922721863
3.2000000000000046,3937.690185546875,0.21081073582172394
3.3000000000000043,3753.88525390625,0.2430248111486435
3.400000000000005,3885.78662109375,0.216575488448143
3.5000000000000053,3748.389404296875,0.24241513013839722
3.600000000000005,3806.048583984375,0.2293563187122345
3.7000000000000046,3697.69287109375,0.24682821333408356
3.800000000000005,3750.547119140625,0.23534363508224487
3.9000000000000057,3648.16064453125,0.255584716796875
4.000000000000005,3589.066162109375,0.26543182134628296
4.100000000000005,3717.101806640625,0.23518529534339905
4.2000000000000055,3628.42431640625,0.2489611655473709
4.300000000000006,3614.627197265625,0.2511076331138611
4.400000000000006,3566.99658203125,0.2604230046272278
4.500000000000005,3528.4296875,0.2672050893306732
4.600000000000006,3499.017578125,0.27027276158332825
4.700000000000006,3485.18505859375,0.2674407958984375
4.800000000000006,3586.2890625,0.24120669066905975
4.900000000000006,3485.06884765625,0.26277825236320496
5.000000000000006,3480.8955078125,0.26290690898895264
5.100000000000007,3486.541748046875,0.2606874108314514
5.200000000000006,3476.278564453125,0.26069390773773193
5.300000000000006,3450.31494140625,0.26233622431755066
5.400000000000007,3438.138671875,0.25971898436546326
5.500000000000007,3579.371826171875,0.22555595636367798
5.600000000000007,3463.970947265625,0.2480667680501938
5.700000000000006,3450.538818359375,0.2500433623790741
5.800000000000007,3429.58349609375,0.25325441360473633
5.9000000000000075,3406.345703125,0.2563839256763458
6.000000000000007,3364.75390625,0.26235151290893555
6.100000000000007,3314.24365234375,0.26935601234436035
6.200000000000006,3440.980712890625,0.23755300045013428
6.300000000000008,3368.39306640625,0.2519196569919586
6.4000000000000075,3285.648681640625,0.26814115047454834
6.500000000000007,3200.171142578125,0.2848045825958252
6.6000000000000085,3294.511474609375,0.2589454650878906
6.700000000000008,3238.5283203125,0.2699754536151886
6.800000000000008,3178.5810546875,0.28038936853408813
6.9000000000000075,3119.067138671875,0.29027941823005676
7.000000000000007,3062.876220703125,0.2990301847457886
7.1000000000000085,3079.23095703125,0.2940419912338257
7.200000000000008,3041.06689453125,0.30162665247917175
7.300000000000008,3011.45263671875,0.3070589303970337
7.400000000000009,2992.6396484375,0.30977827310562134
7.500000000000009,2989.4921875,0.30835089087486267
7.6000000000000085,2998.283447265625,0.3034211993217468
7.700000000000008,3008.031982421875,0.29736220836639404
7.800000000000008,3011.112060546875,0.2923395037651062
7.900000000000009,3011.33740234375,0.28621378540992737
8.000000000000009,3104.586181640625,0.2625853419303894
8.100000000000009,3042.015380859375,0.27437102794647217
8.20000000000001,3041.57568359375,0.2719099819660187
8.30000000000001,3028.481689453125,0.2737422287464142
8.40000000000001,2983.433349609375,0.28248581290245056
8.500000000000009,2940.04052734375,0.29070839285850525
8.600000000000009,2885.25927734375,0.3010353446006775
8.70000000000001,2821.575927734375,0.3132004141807556
8.80000000000001,2767.88232421875,0.32293426990509033
