-6.700000000000000000e+01,-6.700000000000000000e+01,-6.700000000000000000e+01,-6.700000000000000000e+01,-6.700000000000000000e+01
-6.700746925873646376e+01,-6.700746925873646376e+01,-6.700746925873646376e+01,-6.700746925873646376e+01,-6.700746925873646376e+01
-6.701491388530443771e+01,-6.701491388530443771e+01,-6.701491388530443771e+01,-6.701491388530443771e+01,-6.701491388530443771e+01
-6.702233445985771709e+01,-6.702233445985771709e+01,-6.702233445985771709e+01,-6.702233445985771709e+01,-6.702233445985771709e+01
-6.702973154272876855e+01,-6.702973154272876855e+01,-6.702973154272876855e+01,-6.702973154272876855e+01,-6.702973154272876855e+01
-6.703710567505393669e+01,-6.703710567505393669e+01,-6.703710567505393669e+01,-6.703710567505393669e+01,-6.703710567505393669e+01
-6.704445737937949445e+01,-6.704445737937949445e+01,-6.704445737937949445e+01,-6.704445737937949445e+01,-6.704445737937949445e+01
-6.705178716024900609e+01,-6.705178716024900609e+01,-6.705178716024900609e+01,-6.705178716024900609e+01,-6.705178716024900609e+01
-6.705909550477262826e+01,-6.705909550477262826e+01,-6.705909550477262826e+01,-6.705909550477262826e+01,-6.705909550477262826e+01
-6.706638288317887486e+01,-6.706638288317887486e+01,-6.706638288317887486e+01,-6.706638288317887486e+01,-6.706638288317887486e+01
-6.707364974934938573e+01,-6.707364974934938573e+01,-6.707364974934938573e+01,-6.707364974934938573e+01,-6.707364974934938573e+01
-6.708089654133723911e+01,-6.708089654133723911e+01,-6.708089654133723911e+01,-6.708089654133723911e+01,-6.708089654133723911e+01
-6.708812368186923436e+01,-6.708812368186923436e+01,-6.708812368186923436e+01,-6.708812368186923436e+01,-6.708812368186923436e+01
-6.709533157883276999e+01,-6.709533157883276999e+01,-6.709533157883276999e+01,-6.709533157883276999e+01,-6.709533157883276999e+01
-6.710252062574762988e+01,-6.710252062574762988e+01,-6.710252062574762988e+01,-6.710252062574762988e+01,-6.710252062574762988e+01
-6.710969120222323170e+01,-6.710969120222323170e+01,-6.710969120222323170e+01,-6.710969120222323170e+01,-6.710969120222323170e+01
-6.711684367440180665e+01,-6.711684367440180665e+01,-6.711684367440180665e+01,-6.711684367440180665e+01,-6.711684367440180665e+01
-6.712397839538783728e+01,-6.712397839538783728e+01,-6.712397839538783728e+01,-6.712397839538783728e+01,-6.712397839538783728e+01
-6.713109570566425077e+01,-6.713109570566425077e+01,-6.713109570566425077e+01,-6.713109570566425077e+01,-6.713109570566425077e+01
-6.713819593349576564e+01,-6.713819593349576564e+01,-6.713819593349576564e+01,-6.713819593349576564e+01,-6.713819593349576564e+01
-6.714527939531976131e+01,-6.714527939531976131e+01,-6.714527939531976131e+01,-6.714527939531976131e+01,-6.714527939531976131e+01
-6.715234639612506840e+01,-6.715234639612506840e+01,-6.715234639612506840e+01,-6.715234639612506840e+01,-6.715234639612506840e+01
-6.715939722981902094e+01,-6.715939722981902094e+01,-6.715939722981902094e+01,-6.715939722981902094e+01,-6.715939722981902094e+01
-6.716643217958322509e+01,-6.716643217958322509e+01,-6.716643217958322509e+01,-6.716643217958322509e+01,-6.716643217958322509e+01
-6.717345151821821503e+01,-6.717345151821821503e+01,-6.717345151821821503e+01,-6.717345151821821503e+01,-6.717345151821821503e+01
